StopID;Platform
8;G
13;B
22;D
36;E
39;G
42;B
51;D
95;J
124;H
134;A
137;G
147;C
161;B
176;A
189;E
220;B
234;A
253;C
259;D
302;F
311;B
340;E
345;A
370;D
400;C
404;E
422;G
426;B
464;A
470;C
477;B
483;B
484;C
493;A
500;A
573;A
574;C
666;A
679;A
688;B
723;B
724;A
756;D
764;H
768;E
789;B
806;C
826;E
833;J
847;H
851;A
885;B
923;E
998;C
1000;C
1010;A
1011;A
1012;B
1021;B
1024;A
1052;B
1120;C
1125;G
1206;B
1207;F
1274;G
1299;F
1308;G
1336;B
1360;E
1371;F
1490;J
1531;E
1596;E
1610;B
1678;E
1679;L
1683;D
1709;K
1710;C
1756;H
1848;H
1938;B
2007;B
2017;A
2100;B
2172;E
2189;F
2234;D
2242;A
2243;F
2343;B
2345;A
2359;D
2375;A
2403;D
2404;D
2411;C
2579;C
2704;C
2729;A
2736;A
2748;C
2814;J
2823;H
2882;E
2900;F
2918;E
2923;A
2932;B
2934;E
2991;J
3011;C
3066;D
3170;A
3313;F
3318;G
3319;B
3339;C
3365;A
3387;F
3408;A
3715;K
3826;B
3835;U
3836;S
3842;A
3847;E
4807;Q
4808;R
5065;B
5501;F
5502;F
5503;F
5504;F
5505;F
5507;F
5508;F
5580;H
5587;C
5601;F
5602;F
5603;F
5604;F
5605;F
5606;F
5607;E
5658;F
5662;D
5663;J
5665;H
5666;C
5669;G
5704;C
5707;E
5710;F
5737;J
5943;C
8050;H
8051;G
8054;C
8055;D
8103;F
8104;E
8119;F
8139;A
8637;B
8682;G
8683;E
8685;F
8733;B
8750;F
8781;C
